university_slug,university_display_name,program,current_pd_fees_value,suppression_rule,programFees_value_if_any,feeMin,feeMax,live_url,gsc_impressions,priority_rank,VERIFIED_TOTAL_FEE,VERIFIED_PER_SEM_FEE,VERIFIED_REGISTRATION_FEE,SOURCE_NOTE,VERIFIED_DATE
lovely-professional-university-online,Lovely Professional University Online,BBA,₹0.2L – ₹1.5L,4a,,161600,200000,https://edifyedu.in/universities/lovely-professional-university-online/bba,0,43,,,,,
lovely-professional-university-online,Lovely Professional University Online,BCA,₹0.2L – ₹1.2L,4a,122400,161600,200000,https://edifyedu.in/universities/lovely-professional-university-online/bca,0,44,,,,,
lovely-professional-university-online,Lovely Professional University Online,M.Com,₹20K – ₹70K,4a,,161600,200000,https://edifyedu.in/universities/lovely-professional-university-online/mcom,0,45,,,,,
lovely-professional-university-online,Lovely Professional University Online,MSc,₹14K – ₹56K,4a,,161600,200000,https://edifyedu.in/universities/lovely-professional-university-online/msc,0,46,,,,,
maharishi-markandeshwar-university-online,Maharishi Markandeshwar (Deemed to be University) Online,B.Com,₹0.2L – ₹1.4L,4a,,60000,200000,https://edifyedu.in/universities/maharishi-markandeshwar-university-online/bcom,0,47,,,,,
mahatma-gandhi-university-online,Mahatma Gandhi University Online,MBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/mahatma-gandhi-university-online/mba,0,48,,,,,
mangalayatan-university-online,Mangalayatan University Online,BBA,₹31K – ₹103K,4a,,60000,200000,https://edifyedu.in/universities/mangalayatan-university-online/bba,0,49,,,,,
manipal-academy-higher-education-online,Manipal Academy of Higher Education (MAHE) Online,B.Com,₹0.3L – ₹1.7L,4a,,292000,292000,https://edifyedu.in/universities/manipal-academy-higher-education-online/bcom,0,50,,,,,
manipal-academy-higher-education-online,Manipal Academy of Higher Education (MAHE) Online,MSc,₹60K – ₹240K,4a,,292000,292000,https://edifyedu.in/universities/manipal-academy-higher-education-online/msc,0,51,,,,,
manipal-university-jaipur-online,Manipal University Jaipur (MUJ) Online,B.Com,₹0.2L – ₹1.0L,4a,,153000,180000,https://edifyedu.in/universities/manipal-university-jaipur-online/bcom,0,52,,,,,
manipal-university-jaipur-online,Manipal University Jaipur (MUJ) Online,M.Com,₹30K – ₹120K,4a,,153000,180000,https://edifyedu.in/universities/manipal-university-jaipur-online/mcom,0,53,,,,,
manipal-university-jaipur-online,Manipal University Jaipur (MUJ) Online,MSc,₹30K – ₹120K,4a,,153000,180000,https://edifyedu.in/universities/manipal-university-jaipur-online/msc,0,54,,,,,
marwadi-university-online,Marwadi University Online,B.Com,₹0.1L – ₹0.6L,4a,,60000,200000,https://edifyedu.in/universities/marwadi-university-online/bcom,0,55,,,,,
marwadi-university-online,Marwadi University Online,BBA,₹0.2L – ₹1.2L,4a,,60000,200000,https://edifyedu.in/universities/marwadi-university-online/bba,0,56,,,,,
marwadi-university-online,Marwadi University Online,BCA,₹0.2L – ₹1.2L,4a,,60000,200000,https://edifyedu.in/universities/marwadi-university-online/bca,0,57,,,,,
marwadi-university-online,Marwadi University Online,MSc,₹25K – ₹100K,4a,,60000,200000,https://edifyedu.in/universities/marwadi-university-online/msc,0,58,,,,,
nmims-online,NMIMS (Narsee Monjee Institute of Management Studies) Online,B.Com,₹60K – ₹200K,4a,,196000,220000,https://edifyedu.in/universities/nmims-online/bcom,0,59,,,,,
nmims-online,NMIMS (Narsee Monjee Institute of Management Studies) Online,BBA,₹60K – ₹200K,4a,,196000,220000,https://edifyedu.in/universities/nmims-online/bba,0,60,,,,,
noida-international-university-online,Noida International University Online,BBA,₹0.2L – ₹1.1L,4a,,88500,97600,https://edifyedu.in/universities/noida-international-university-online/bba,0,61,,,,,
parul-university-online,Parul University Online,BBA,₹18K – ₹70K,4a,,60000,200000,https://edifyedu.in/universities/parul-university-online/bba,0,62,,,,,
parul-university-online,Parul University Online,BCA,₹0.1L – ₹0.9L,4a,,60000,200000,https://edifyedu.in/universities/parul-university-online/bca,0,63,,,,,
parul-university-online,Parul University Online,M.Com,₹15K – ₹60K,4a,,60000,200000,https://edifyedu.in/universities/parul-university-online/mcom,0,64,,,,,
pp-savani-university-online,P P Savani University Online,BBA,₹0.2L – ₹1.2L,4a,,60000,200000,https://edifyedu.in/universities/pp-savani-university-online/bba,0,65,,,,,
pp-savani-university-online,P P Savani University Online,BCA,₹0.2L – ₹1.5L,4a,,60000,200000,https://edifyedu.in/universities/pp-savani-university-online/bca,0,66,,,,,
pp-savani-university-online,P P Savani University Online,M.Com,₹25K – ₹100K,4a,,60000,200000,https://edifyedu.in/universities/pp-savani-university-online/mcom,0,67,,,,,
pp-savani-university-online,P P Savani University Online,MSc,₹32K – ₹130K,4a,,60000,200000,https://edifyedu.in/universities/pp-savani-university-online/msc,0,68,,,,,
savitribai-phule-pune-university-online,Savitribai Phule Pune University (SPPU) Online,BBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/savitribai-phule-pune-university-online/bba,0,69,,,,,
savitribai-phule-pune-university-online,Savitribai Phule Pune University (SPPU) Online,BCA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/savitribai-phule-pune-university-online/bca,0,70,,,,,
sgt-university-online,SGT University Online,B.Com,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/sgt-university-online/bcom,0,71,,,,,
sgt-university-online,SGT University Online,BBA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/sgt-university-online/bba,0,72,,,,,
