id,name,state,on_new_list,ugc_source,ugc_name,offered,ugc_entitled,unbacked,site_claims_ugc_deb
"university-of-madras-online","University of Madras Online","Tamil Nadu","YES","main #87","UNIVERSITY OF MADRAS","MBA","B.Com BA BBA M.Com MA","MBA","YES"
"kalasalingam-university-online","Kalasalingam Academy of Research and Education (KARE) Online","Tamil Nadu","YES","main #88","KALASALINGAM ACADEMY OF RESEARCH AND HIGHER EDUCATION","MBA","B.Com BBA BCA MA MBA MCA MSc","","YES"
"alagappa-university-online","Alagappa University Online","","YES","main #90","ALAGAPPA UNIVERSITY","B.Com","B.Com BA BBA M.Com MA MBA","","YES"
"bharathiar-university-online","Bharathiar University Online","Tamil Nadu","YES","main #91","BHARATHIAR UNIVERSITY","BBA","B.Com BA BBA M.Com MA MBA MCA","","YES"
"sri-ramachandra-university-online","Sri Ramachandra Institute of Higher Education and Online","Tamil Nadu","YES","main #99","SRI RAMACHANDRA INSTITUTE OF HIGHER EDUCATION AND RESEARCH","BSc","BSc MSc","","YES"
"icfai-university-online","ICFAI Foundation for Higher Education Online","Telangana","YES","main #100","ICFAI FOUNDATION FOR HIGHER EDUCATION","MBA","BBA MBA","","YES"
"shiv-nadar-university-online","Shiv Nadar University Online","Uttar Pradesh","NO","","","MBA","","MBA","YES"
"gla-university-online","GLA University Online","Uttar Pradesh","YES","main #110","G.L.A. UNIVERSITY","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"jagannath-university-online","Jagan Nath University Online","Rajasthan","YES","addendum #12","JAGANNATH UNIVERSITY","MBA","B.Com BA BBA MA MBA","","YES"
"teerthanker-mahaveer-university-online","Teerthanker Mahaveer University Online","Uttar Pradesh","YES","addendum #16","TEERTHANKER MAHAVEER UNIVERSITY","MBA","BA BBA BCA MBA","","YES"
"subharti-university-online","Swami Vivekanand Subharti University Online","Uttar Pradesh","YES","addendum #17","SWAMI VIVEKANAND SUBHARTI UNIVERSITY","MBA","MA MBA","","YES"
"arka-jain-university-online","ARKA JAIN University – JGI Online (arkajain.edu.in) Online","Jharkhand","YES","addendum #8","ARKA JAIN UNIVERSITY","MBA","B.Com BBA BCA MBA MCA","","YES"
"jawaharlal-nehru-university-online","JAWAHARLAL NEHRU UNIVERSITY Online","DELHI","YES","main #12","JAWAHARLAL NEHRU UNIVERSITY","MA","MA","","YES"
"jamia-hamdard-online","JAMIA HAMDARD Online","DELHI","YES","main #10","JAMIA HAMDARD","B.Com BBA BCA MA MBA MCA","BA BBA BCA MA MBA MCA","B.Com","YES"
"kalinga-institute-industrial-technology-online","KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY Online","ODISHA","YES","main #62","KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY","B.Com BA M.Com MA","B.Com BBA BCA M.Com MA MBA MCA MSc","BA","YES"
"university-of-kerala-online","UNIVERSITY OF KERALA Online","KERALA","YES","main #49","UNIVERSITY OF KERALA","B.Com BBA M.Com MBA","B.Com BBA M.Com MBA","","YES"
"bits-pilani-work-integrated-online","BITS Pilani Work Integrated Learning Programmes (WILP) Online","GOA","NO","","","MBA","","MBA","YES"
"op-jindal-global-university-online","O.P. Jindal Global University Online","Haryana","NO","","","MBA","","MBA","YES"
