url,university,programme,slug,title-cased-name-emitted
"/universities/dayananda-sagar-university-online/mca/mobile-application-development","dayananda-sagar-university-online","MCA","mobile-application-development","Mobile Application Development"
"/universities/dayananda-sagar-university-online/mca/natural-language-processing","dayananda-sagar-university-online","MCA","natural-language-processing","Natural Language Processing"
"/universities/dayananda-sagar-university-online/mca/quantum-computing","dayananda-sagar-university-online","MCA","quantum-computing","Quantum Computing"
"/universities/dayananda-sagar-university-online/mca/quantum-machine-learning","dayananda-sagar-university-online","MCA","quantum-machine-learning","Quantum Machine Learning"
"/universities/dr-babasaheb-ambedkar-open-university-online/mba/hr-management","dr-babasaheb-ambedkar-open-university-online","MBA","hr-management","Hr Management"
"/universities/dy-patil-university-online/bba/human-resource-management","dy-patil-university-online","BBA","human-resource-management","Human Resource Management"
"/universities/dy-patil-university-online/bca/bca","dy-patil-university-online","BCA","bca","Bca"
"/universities/dy-patil-university-online/mba/data-science-abd-business-analytics","dy-patil-university-online","MBA","data-science-abd-business-analytics","Data Science Abd Business Analytics"
"/universities/dy-patil-university-online/mba/digital-mktg","dy-patil-university-online","MBA","digital-mktg","Digital Mktg"
"/universities/dy-patil-university-online/mba/entrepreneur","dy-patil-university-online","MBA","entrepreneur","Entrepreneur"
"/universities/dy-patil-university-online/mba/event-mgmt","dy-patil-university-online","MBA","event-mgmt","Event Mgmt"
"/universities/dy-patil-university-online/mba/healthcare","dy-patil-university-online","MBA","healthcare","Healthcare"
"/universities/dy-patil-university-online/mba/hr-management","dy-patil-university-online","MBA","hr-management","Hr Management"
"/universities/dy-patil-university-online/mba/intl-business","dy-patil-university-online","MBA","intl-business","Intl Business"
"/universities/dy-patil-university-online/mba/logistics-scm","dy-patil-university-online","MBA","logistics-scm","Logistics Scm"
"/universities/dy-patil-university-online/mba/retail","dy-patil-university-online","MBA","retail","Retail"
"/universities/dy-patil-university-online/mba/sales-mktg","dy-patil-university-online","MBA","sales-mktg","Sales Mktg"
"/universities/ganpat-university-online/bba/ib","ganpat-university-online","BBA","ib","Ib"
"/universities/ganpat-university-online/mba/hr-management","ganpat-university-online","MBA","hr-management","Hr Management"
"/universities/gla-university-online/mba/banking-financial-services","gla-university-online","MBA","banking-financial-services","Banking Financial Services"
"/universities/gla-university-online/mba/business-analytics","gla-university-online","MBA","business-analytics","Business Analytics"
"/universities/gls-university-online/bba/finance","gls-university-online","BBA","finance","Finance"
"/universities/gls-university-online/bba/human-resource-management","gls-university-online","BBA","human-resource-management","Human Resource Management"
"/universities/gls-university-online/bba/international-business","gls-university-online","BBA","international-business","International Business"
"/universities/gls-university-online/bba/marketing","gls-university-online","BBA","marketing","Marketing"
"/universities/gls-university-online/bba/public","gls-university-online","BBA","public","Public"
