university,programme,spec_slug,currently_emitted_name,verified_name,page_url
"dayananda-sagar-university-online","MCA","blockchain-technologies","Blockchain Technologies","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/blockchain-technologies"
"dayananda-sagar-university-online","MCA","business-data-analytics","Business Data Analytics","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/business-data-analytics"
"dayananda-sagar-university-online","MCA","business-intelligence-technology","Business Intelligence Technology","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/business-intelligence-technology"
"dayananda-sagar-university-online","MCA","cloud-computing-technologies","Cloud Computing Technologies","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/cloud-computing-technologies"
"dayananda-sagar-university-online","MCA","data-analytics-visualization","Data Analytics Visualization","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/data-analytics-visualization"
"dayananda-sagar-university-online","MCA","deep-learning","Deep Learning","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/deep-learning"
"dayananda-sagar-university-online","MCA","industrial-iot-automation","Industrial Iot Automation","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/industrial-iot-automation"
"dayananda-sagar-university-online","MCA","mobile-application-development","Mobile Application Development","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/mobile-application-development"
"dayananda-sagar-university-online","MCA","natural-language-processing","Natural Language Processing","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/natural-language-processing"
"dayananda-sagar-university-online","MCA","quantum-computing","Quantum Computing","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/quantum-computing"
"dayananda-sagar-university-online","MCA","quantum-machine-learning","Quantum Machine Learning","","https://edifyedu.in/universities/dayananda-sagar-university-online/mca/quantum-machine-learning"
"dr-babasaheb-ambedkar-open-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/dr-babasaheb-ambedkar-open-university-online/mba/hr-management"
"dy-patil-university-online","BBA","human-resource-management","Human Resource Management","","https://edifyedu.in/universities/dy-patil-university-online/bba/human-resource-management"
"dy-patil-university-online","BCA","bca","Bca","","https://edifyedu.in/universities/dy-patil-university-online/bca/bca"
"dy-patil-university-online","MBA","data-science-abd-business-analytics","Data Science Abd Business Analytics","","https://edifyedu.in/universities/dy-patil-university-online/mba/data-science-abd-business-analytics"
"dy-patil-university-online","MBA","digital-mktg","Digital Mktg","","https://edifyedu.in/universities/dy-patil-university-online/mba/digital-mktg"
"dy-patil-university-online","MBA","entrepreneur","Entrepreneur","","https://edifyedu.in/universities/dy-patil-university-online/mba/entrepreneur"
"dy-patil-university-online","MBA","event-mgmt","Event Mgmt","","https://edifyedu.in/universities/dy-patil-university-online/mba/event-mgmt"
"dy-patil-university-online","MBA","healthcare","Healthcare","","https://edifyedu.in/universities/dy-patil-university-online/mba/healthcare"
"dy-patil-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/dy-patil-university-online/mba/hr-management"
